predictor,omission_type,omitted,n_records,n_proteins,standardized_slope,p_value
domain_gravy,bacteriocin,Pyocin L3,29,13,-0.5325227169226413,0.3213001749237957
domain_gravy,bacteriocin,Pyocin S6,34,13,-0.013308233482612009,0.931866001428915
domain_gravy,doi,10.1016/j.febslet.2010.06.021,34,14,-0.5174547603506245,0.26642839318206646
domain_gravy,doi,10.1371/journal.pone.0185782,33,13,-0.49830402189189366,0.34146255955072613
domain_gravy,doi,10.1371/journal.ppat.1003199,34,13,-0.46166636593253424,0.3881260025177735
domain_gravy,doi,10.1371/journal.ppat.1003898,33,14,-0.4809339623554537,0.3156081537597343
domain_gravy,doi,10.1074/jbc.M112.400150,34,13,-0.560470145587277,0.22347000916158055
domain_gravy,doi,10.1038/s41598-019-51969-1,27,8,-0.6658868803229897,0.3926010736570167
domain_gravy,doi,10.1002/mbo3.210,16,12,-0.5632877970583192,0.38155930325104226
domain_gravy,doi,10.1002/mbo3.339,34,13,-0.013308233482612009,0.931866001428915
